Kab/Kota;Provinsi;Kategori;Divaksin_1
Kab.Pringsewu;Lampung;LANSIA;4
Kab.Pringsewu;Lampung;BUMN;1
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;189
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;26
Kab.Pringsewu;Lampung;ATLIT;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;2
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;60
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;LANSIA;11
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;TNI;2
Kab.Pringsewu;Lampung;LANSIA;2
Kab.Pringsewu;Lampung;LANSIA;10
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;3
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;163
Kab.Pringsewu;Lampung;PARIWISATA;1
Kab.Pringsewu;Lampung;SDM KESEHATAN;8
Kab.Pringsewu;Lampung;LANSIA;1
Kab.Pringsewu;Lampung;SDM KESEHATAN;3
Kab.Pringsewu;Lampung;TRANSPORTASI PUBLIK;1
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;1
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;1
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;133
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;58
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;BUMN;2
Kab.Pringsewu;Lampung;BUMN;3
Kab.Pringsewu;Lampung;PENDIDIK;0
Kab.Pringsewu;Lampung;BUMN;1
Kab.Pringsewu;Lampung;BUMN;0
Kab.Pringsewu;Lampung;BUMN;1
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;57
Kab.Pringsewu;Lampung;PEDAGANG PASAR;1
Kab.Pringsewu;Lampung;SDM KESEHATAN;1
Kab.Pringsewu;Lampung;SDM KESEHATAN;1
Kab.Pringsewu;Lampung;SDM KESEHATAN;3
Kab.Pringsewu;Lampung;PELAYAN PUBLIK;5
Kab.Pringsewu;Lampung;PELAYAN PUBLIK;1
Kab.Pringsewu;Lampung;PELAYAN PUBLIK;4
Kab.Pringsewu;Lampung;PELAYAN PUBLIK;0
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;1
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;123
Kab.Pringsewu;Lampung;LANSIA;13
Kab.Pringsewu;Lampung;LANSIA;0
Kab.Pringsewu;Lampung;LANSIA;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;1
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;1
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;1
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;1
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;Menunggu Konfirmasi;0
Kab.Pringsewu;Lampung;LANSIA;1
Kab.Pringsewu;Lampung;PENDIDIK;1
Kab.Pringsewu;Lampung;POLRI;0
Kab.Pringsewu;Lampung;PENDIDIK;2
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;34
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;0
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;24
Kab.Pringsewu;Lampung;LANSIA;43
Kab.Pringsewu;Lampung;BUMN;0
Kab.Pringsewu;Lampung;BUMN;1
Kab.Pringsewu;Lampung;BUMN;0
Kab.Pringsewu;Lampung;PEDAGANG PASAR;0
Kab.Pringsewu;Lampung;PEDAGANG PASAR;1
Kab.Pringsewu;Lampung;PELAYAN PUBLIK;24
Kab.Pringsewu;Lampung;SDM KESEHATAN;2
Kab.Pringsewu;Lampung;SDM KESEHATAN;0
Kab.Pringsewu;Lampung;SDM KESEHATAN;0
Kab.Pringsewu;Lampung;TRANSPORTASI PUBLIK;1
Kab.Pringsewu;Lampung;TRANSPORTASI PUBLIK;1
Kab.Pringsewu;Lampung;MASYARAKAT RENTAN;0
Kab.Pringsewu;Lampung;PENDIDIK;5
Kab.Pringsewu;Lampung;PENDIDIK;18
Kab.Pringsewu;Lampung;PENDIDIK;21
Kab.Pringsewu;Lampung;PELAYAN PUBLIK;22
Kab.Pringsewu;Lampung;PELAYAN PUBLIK;10
Kab.Pringsewu;Lampung;PELAYAN PUBLIK;10
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;1
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;2
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;1
Kab.Pringsewu;Lampung;ATLIT;4
Kab.Pringsewu;Lampung;ATLIT;11
Kab.Pringsewu;Lampung;ATLIT;1
Kab.Pringsewu;Lampung;ATLIT;0
Kab.Pringsewu;Lampung;ATLIT;0
Kab.Pringsewu;Lampung;ATLIT;1
Kab.Pringsewu;Lampung;ATLIT;0
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;4
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;10
Kab.Pringsewu;Lampung;PEGAWAI PEMERINTAH;1
Kab.Pringsewu;Lampung;PENDIDIK;7
Kab.Pringsewu;Lampung;PENDIDIK;1
Kab.Pringsewu;Lampung;PENDIDIK;16
